vin,inv,desc,anio,kms,color,precio,bono,garantia,ubicacion,grupo,condicion,link,tipo,estatus,foraneo,cil,lts,trans
LK306185,5239,JEEP RENEGADE LATTITUDE,2020,"91,829",ROJO,"$220,000.00",,EXCELLENCE (DEFENSA A DEFENSA),TALLER TJ,Tijuana,Financiera/Banco con convenio,,SUV SUBCOMPACTAS,DISPONIBLE,N,4,1.8,AUT
LL551336,5272,NISSAN KICKS ADVANCE,2020,"84,732",PLATA,"$239,000.00",,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SUV SUBCOMPACTAS,DISPONIBLE,N,4,1.6,AUT
GP420461,5253,FIAT 500X TREKKING,2016,"154,339",ROJO,"$120,000.00",,3 MESES MOTOR Y TRANSMISIÓN,TALLER MXLI,Mexicali,contado,,SUV SUBCOMPACTAS,DISPONIBLE,Y,4,2.4,AUT
LL494334,5234,NISSAN KICKS ADVANCE,2020,"77,910",BLANCO,"$240,000.00",,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SUV SUBCOMPACTAS,DISPONIBLE,N,4,1.6,AUT
SM757925,5263,MAZDA CX3 I SPORT,2025,"14,152",PLATA,"$335,000.00",,VALIDAR,MAZDA TJ,Tijuana,Financiera/Banco con convenio,,SUV SUBCOMPACTAS,APARTADO,N,4,2,AUT
RM859454,5215,HYUNDAI CRETA GRAND GLS PREMIUM,2024,"33,398",GRIS,"$375,000.00","$30,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/1474281/Seminuevo/Hyundai-Creta-2024,SUV SUBCOMPACTAS,APARTADO,N,4,2,AUT
RT103350,5184,SUZUKI GRAND VITARA GLX,2024,"39,159",AZUL,"$335,000.00","$30,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/4724713/Seminuevo/Suzuki-Grand_Vitara-2024,SUV SUBCOMPACTAS,VENTA URGENTE,N,4,1.5,AUT
R7899022,5122,KIA NEW SOUL LX,2024,"30,292",GRIS,"$325,000.00","$40,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/5498381/Seminuevo/Kia-Soul-2024,SUV SUBCOMPACTAS,VENTA URGENTE,N,4,1.6,AUT
NL478792,5207,NISSAN KICKS ADVANCE,2022,"61,602",PLATA,"$220,000.00","$20,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/2990387/Seminuevo/Nissan-Kicks-2022,SUV SUBCOMPACTAS,VENTA URGENTE,N,4,1.6,STD
RJ006276,5082,HONDA BRV TOURING,2024,"42,210",GRIS,"$395,000.00","$60,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR,Mexicali,Financiera/Banco con convenio,https://autostar.com.mx/auto/5511479/Seminuevo/Honda-BR-V-2024,SUV SUBCOMPACTAS,VENTA URGENTE,N,4,1.5,AUT
PP029777,5143,VW NIVUS HIGHLINE,2023,"87,555",AZUL,"$330,000.00","$30,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR,Mexicali,Financiera/Banco con convenio,https://autostar.com.mx/auto/4410265/Seminuevo/Volkswagen-Nivus-2023,SUV SUBCOMPACTAS,VENTA URGENTE,N,3,1.0,AUT
TJ167324,5224,TOYOTA RAIZE XLE,2026,"14,327",GRIS,"$350,000.00","$20,000.00",VALIDAR,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/8184685/Seminuevo/Toyota-Raize-2026,SUV SUBCOMPACTAS,VENTA URGENTE,N,3,1.0,AUT
SG298689,5153,SUZUKI FRONX BOOSTERGREEN MILD HYBRID,2025,"6,046",GRIS,"$360,000.00","$30,000.00",PLANTA,AUTOSTAR,Mexicali,Financiera/Banco con convenio,https://autostar.com.mx/auto/9086298/Seminuevo/Suzuki-FRONX-2025,SUV SUBCOMPACTAS,VENTA URGENTE,N,4,1.5,AUT
NZ047982,5285,MG ZS EXCITE,2022,"73,364",ROJO,"$190,000.00",,EXCELLENCE (DEFENSA A DEFENSA),POR RECIBIR TJ,Tijuana,Financiera/Banco con convenio,,SUV SUBCOMPACTAS,POR RECIBIR,N,4,1.5,AUT
NC365144,5049,RENAULT KOLEOS ICONIC,2022,"95,204",BLANCO,"$295,000.00","$70,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/5138328/Seminuevo/Renault-Koleos-2022,SUV MEDIANA,APARTADO,N,4,2.5,AUT
